id,catalog_id,name,motor_pdf_url,yedek_parca_pdf_url,operator_pdf_url,service_pdf_url
1,1,TB215R,uploads/motor_tb215r.pdf,uploads/yedek_parca_tb215r.pdf,uploads/operator_tb215r.pdf,uploads/service_tb215r.pdf
2,1,TB216,uploads/motor_tb216.pdf,uploads/yedek_parca_tb216.pdf,uploads/operator_tb216.pdf,uploads/service_tb216.pdf
3,1,TB217,uploads/motor_tb217.pdf,uploads/yedek_parca_tb217.pdf,uploads/operator_tb217.pdf,uploads/service_tb217.pdf
4,1,TB225,uploads/motor_tb225.pdf,uploads/yedek_parca_tb225.pdf,uploads/operator_tb225.pdf,uploads/service_tb225.pdf
5,1,TB138FR,uploads/motor_tb138fr.pdf,uploads/yedek_parca_tb138fr.pdf,uploads/operator_tb138fr.pdf,uploads/service_tb138fr.pdf
6,1,TB325R,uploads/motor_tb325r.pdf,uploads/yedek_parca_tb325r.pdf,uploads/operator_tb325r.pdf,uploads/service_tb325r.pdf
7,1,TB23R,uploads/motor_tb23r.pdf,uploads/yedek_parca_tb23r.pdf,uploads/operator_tb23r.pdf,uploads/service_tb23r.pdf
8,1,TB228,uploads/motor_tb228.pdf,uploads/yedek_parca_tb228.pdf,uploads/operator_tb228.pdf,uploads/service_tb228.pdf
9,1,TB235,uploads/motor_tb235.pdf,uploads/yedek_parca_tb235.pdf,uploads/operator_tb235.pdf,uploads/service_tb235.pdf
10,1,TB235-2,uploads/motor_tb235-2.pdf,uploads/yedek_parca_tb235-2.pdf,uploads/operator_tb235-2.pdf,uploads/service_tb235-2.pdf
11,1,TB240,uploads/motor_tb240.pdf,uploads/yedek_parca_tb240.pdf,uploads/operator_tb240.pdf,uploads/service_tb240.pdf
12,1,TB240-2,uploads/motor_tb240-2.pdf,uploads/yedek_parca_tb240-2.pdf,uploads/operator_tb240-2.pdf,uploads/service_tb240-2.pdf
13,1,TB250,uploads/motor_tb250.pdf,uploads/yedek_parca_tb250.pdf,uploads/operator_tb250.pdf,uploads/service_tb250.pdf
14,1,TB153FR,uploads/motor_tb153fr.pdf,uploads/yedek_parca_tb153fr.pdf,uploads/operator_tb153fr.pdf,uploads/service_tb153fr.pdf
15,1,TB260,uploads/motor_tb260.pdf,uploads/yedek_parca_tb260.pdf,uploads/operator_tb260.pdf,uploads/service_tb260.pdf
16,1,TB260-2,uploads/motor_tb260-2.pdf,uploads/yedek_parca_tb260-2.pdf,uploads/operator_tb260-2.pdf,uploads/service_tb260-2.pdf
17,1,TB285,uploads/motor_tb285.pdf,uploads/yedek_parca_tb285.pdf,uploads/operator_tb285.pdf,uploads/service_tb285.pdf
18,1,TB290-2,uploads/motor_tb290-2.pdf,uploads/yedek_parca_tb290-2.pdf,uploads/operator_tb290-2.pdf,uploads/service_tb290-2.pdf
