id,user_id,can_view_parts,can_edit_parts,can_view_faults,can_add_solutions,can_view_catalogs,can_view_maintenance,can_edit_maintenance,can_view_contact,can_view_purchase_prices,can_view_warranty,can_view_accounting,can_view_periodic_maintenance,can_approve_maintenance,can_edit_periodic_maintenance
47,48,t,f,t,f,f,f,f,t,f,f,f,f,f,f
48,49,t,f,t,f,f,f,f,t,f,f,f,f,f,f
49,50,t,f,t,f,f,f,f,t,f,f,f,f,f,f
50,51,t,f,t,f,f,f,f,t,f,f,f,f,f,f
51,52,t,f,t,f,f,f,f,t,f,f,f,f,f,f
52,53,t,f,t,f,f,f,f,t,f,f,f,f,f,f
53,54,t,f,t,f,f,f,f,t,f,f,f,f,f,f
54,55,t,f,t,f,f,f,f,t,f,f,f,f,f,f
55,56,t,f,t,f,f,f,f,t,f,f,f,f,f,f
56,57,t,f,t,f,f,f,f,t,f,f,f,f,f,f
57,58,t,f,t,f,f,f,f,t,f,f,f,f,f,f
58,59,t,f,t,f,f,f,f,t,f,f,f,f,f,f
59,60,t,f,t,f,f,f,f,t,f,f,f,f,f,f
60,61,t,f,t,f,f,f,f,t,f,f,f,f,f,f
61,62,t,f,t,f,f,f,f,t,f,f,f,f,f,f
62,63,t,f,t,f,f,f,f,t,f,f,f,f,f,f
63,64,t,f,t,f,f,f,f,t,f,f,f,f,f,f
64,65,t,f,t,f,f,f,f,t,f,f,f,f,f,f
65,66,t,f,t,f,f,f,f,t,f,f,f,f,f,f
66,67,t,f,t,f,f,f,f,t,f,f,f,f,f,f
67,68,t,f,t,f,f,f,f,t,f,f,f,f,f,f
68,69,t,f,t,f,f,f,f,t,f,f,f,f,f,f
69,70,t,f,t,f,f,f,f,t,f,f,f,f,f,f
70,71,t,f,t,f,f,f,f,t,f,f,f,f,f,f
71,72,t,f,t,f,f,f,f,t,f,f,f,f,f,f
72,73,t,f,t,f,f,f,f,t,f,f,f,f,f,f
73,74,t,f,t,f,f,f,f,t,f,f,f,f,f,f
74,75,t,f,t,f,f,f,f,t,f,f,f,f,f,f
75,76,t,f,t,f,f,f,f,t,f,f,f,f,f,f
76,77,t,f,t,f,f,f,f,t,f,f,f,f,f,f
77,78,t,f,t,f,f,f,f,t,f,f,f,f,f,f
78,79,t,f,t,f,f,f,f,t,f,f,f,f,f,f
79,80,t,f,t,f,f,f,f,t,f,f,f,f,f,f
80,81,t,f,t,f,f,f,f,t,f,f,f,f,f,f
81,82,t,f,t,f,f,f,f,t,f,f,f,f,f,f
82,83,t,f,t,f,f,f,f,t,f,f,f,f,f,f
83,84,t,f,t,f,f,f,f,t,f,f,f,f,f,f
84,85,t,f,t,f,f,f,f,t,f,f,f,f,f,f
85,86,t,f,t,f,f,f,f,t,f,f,f,f,f,f
86,87,t,f,t,f,f,f,f,t,f,f,f,f,f,f
87,88,t,f,t,f,f,f,f,t,f,f,f,f,f,f
88,89,t,f,t,f,f,f,f,t,f,f,f,f,f,f
89,90,t,f,t,f,f,f,f,t,f,f,f,f,f,f
90,91,t,f,t,f,f,f,f,t,f,f,f,f,f,f
91,92,t,f,t,t,t,t,f,t,f,t,t,t,f,f
92,93,t,f,t,t,t,t,f,t,f,t,t,t,f,f
93,94,t,f,t,t,t,t,f,t,f,t,t,t,f,f
94,95,t,f,t,t,t,t,f,t,f,t,t,t,f,f
95,96,t,t,t,t,t,t,t,t,t,t,t,t,f,f
96,97,t,f,t,f,f,f,f,t,f,f,f,f,f,f
